step,case_ids,loss_total,loss_dice_focal,loss_bce_with_logits,prob_min,prob_max,prob_mean,prob_std,prob_nan_count,prob_inf_count,logits_min,logits_max,logits_mean,logits_std,logits_nan_count,logits_inf_count,pred_pos_pixel_ratio,pred_non_empty_rate,grad_norm_l2_total,grad_nonfinite_count,frozen_backbone_grad_present,trainable_non_backbone_grad_present,trainable_non_backbone_grad_nonzero,step_ms
1,siim_000004,1.7968134880065918,1.033988118171692,0.7628253698348999,0.03837217390537262,0.9942020773887634,0.5289260149002075,0.06077723950147629,0,0,-3.22129487991333,5.144450664520264,0.11891572922468185,0.2697257995605469,0,0,0.7262802124023438,1.0,2.459545532505268,0,0,90,90,5973.934
2,siim_000001,1.7972044944763184,1.0439790487289429,0.7532255053520203,0.026648208498954773,0.9964264035224915,0.5243122577667236,0.05691361054778099,0,0,-3.5980236530303955,5.630614280700684,0.10166478157043457,0.2654362618923187,0,0,0.7490768432617188,1.0,2.1826924167124124,0,0,90,90,6115.026
3,siim_000009,1.736493468284607,1.0017282962799072,0.7347651720046997,0.0051231360994279385,0.9999402761459351,0.5158512592315674,0.050524018704891205,0,0,-5.268852233886719,9.725563049316406,0.06884270906448364,0.2750976085662842,0,0,0.6585578918457031,1.0,2.3485440907690025,0,0,90,90,5784.73
4,siim_000002,1.7832646369934082,1.042601466178894,0.7406631708145142,0.0012711938470602036,0.9998753070831299,0.5174645781517029,0.0582953579723835,0,0,-6.666526794433594,8.989328384399414,0.07575822621583939,0.2902767062187195,0,0,0.664794921875,1.0,2.401352800296568,0,0,90,90,6050.686
5,siim_000013,1.6766847372055054,0.958781898021698,0.7179028391838074,0.04790366068482399,0.9979419112205505,0.5073930025100708,0.06051072105765343,0,0,-2.989474296569824,6.183936595916748,0.03597172349691391,0.29070571064949036,0,0,0.5306015014648438,1.0,2.109840060718113,0,0,90,90,5616.101
6,siim_000003,1.7449018955230713,1.038210391998291,0.7066914439201355,0.009479532949626446,0.999970555305481,0.501141369342804,0.05563542991876602,0,0,-4.64909553527832,10.434382438659668,0.009943214245140553,0.29077956080436707,0,0,0.54296875,1.0,2.003527295188871,0,0,90,90,5719.952
7,siim_000022,1.7381728887557983,1.0269484519958496,0.7112244367599487,0.04511675238609314,0.9999934434890747,0.5037356019020081,0.06078939512372017,0,0,-3.052335500717163,11.932950973510742,0.018695395439863205,0.2835249900817871,0,0,0.5380744934082031,1.0,1.8634643578923256,0,0,90,90,5507.268
8,siim_000005,1.7364628314971924,1.0382452011108398,0.6982176899909973,0.08130433410406113,0.9994460940361023,0.4940814673900604,0.06824924796819687,0,0,-2.424755573272705,7.497921943664551,-0.015188075602054596,0.3445891737937927,0,0,0.4175148010253906,1.0,2.0950794564568618,0,0,90,90,6079.275
9,siim_000023,1.703096628189087,1.008428692817688,0.6946679353713989,0.014819636009633541,0.9999854564666748,0.49421265721321106,0.06209796667098999,0,0,-4.196871757507324,11.141690254211426,-0.016679812222719193,0.3264541029930115,0,0,0.44469451904296875,1.0,1.8901343455457715,0,0,90,90,6188.965
10,siim_000006,1.7366663217544556,1.0381193161010742,0.6985470056533813,0.10717327892780304,0.999900221824646,0.4948425889015198,0.06818678975105286,0,0,-2.119945526123047,9.213098526000977,-0.013416064903140068,0.33444127440452576,0,0,0.4308891296386719,1.0,2.0203345576152474,0,0,90,90,5681.042
11,siim_000028,1.7098493576049805,1.0334302186965942,0.676419198513031,0.0748368576169014,0.9999434947967529,0.48412859439849854,0.0660356730222702,0,0,-2.5146596431732178,9.78087043762207,-0.057159118354320526,0.324298232793808,0,0,0.3475341796875,1.0,1.9033104431857621,0,0,90,90,6181.227
