case_id,state_key,preprocess_variant,head_idx,channel,head_key,threshold,gt_is_positive,pred_is_positive,logits_min,logits_max,logits_mean,logits_std,prob_min,prob_max,prob_mean,prob_std,probability_map_path,binary_mask_path,visual_overlay_path,probability_histogram_path,dice,iou,precision,recall,specificity,tp_pixels,fp_pixels,fn_pixels,tn_pixels,gt_foreground_pixels,pred_foreground_pixels,total_pixels
siim_009202,model,official_siim_224,5,,head_5,0.5,True,True,-169.33975219726562,3.9552204608917236,-59.153411865234375,27.665021896362305,0.0,0.9812055826187134,0.001403746078722179,0.03123069368302822,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\probability_maps\model\official_siim_224\head_5\siim_009202.png,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\binary_masks\model\official_siim_224\head_5\siim_009202.png,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\visual_overlays\model\official_siim_224\head_5\siim_009202.png,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\probability_histograms\model\official_siim_224\head_5\siim_009202.png,0.42443729903536975,0.2693877551020408,1.0,0.2693877551020408,1.0,66,0,179,49931,245,66,50176
siim_009202,model,official_siim_224,2,,head_2,0.5,True,True,-202.6248321533203,3.177722454071045,-62.44502258300781,32.9796142578125,0.0,0.9599872827529907,0.0010656913509592414,0.025779524818062782,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\probability_maps\model\official_siim_224\head_2\siim_009202.png,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\binary_masks\model\official_siim_224\head_2\siim_009202.png,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\visual_overlays\model\official_siim_224\head_2\siim_009202.png,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\probability_histograms\model\official_siim_224\head_2\siim_009202.png,0.3044982698961938,0.17959183673469387,1.0,0.17959183673469387,1.0,44,0,201,49931,245,44,50176
siim_009202,model,official_siim_224,4,12,head_4_ch12,0.5,True,False,-78.74514770507812,-5.668293476104736,-21.543699264526367,8.473546981811523,6.330192051577785e-35,0.003441866720095277,8.501833690388594e-06,0.00011242073378525674,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\probability_maps\model\official_siim_224\head_4_ch12\siim_009202.png,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\binary_masks\model\official_siim_224\head_4_ch12\siim_009202.png,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\visual_overlays\model\official_siim_224\head_4_ch12\siim_009202.png,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\probability_histograms\model\official_siim_224\head_4_ch12\siim_009202.png,0.0,0.0,0.0,0.0,1.0,0,0,245,49931,245,0,50176
siim_009202,model,official_siim_512,5,,head_5,0.5,True,True,-193.17247009277344,20.8708553314209,-55.37367248535156,26.40582847595215,0.0,1.0,0.005831137765198946,0.0741041973233223,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\probability_maps\model\official_siim_512\head_5\siim_009202.png,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\binary_masks\model\official_siim_512\head_5\siim_009202.png,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\visual_overlays\model\official_siim_512\head_5\siim_009202.png,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\probability_histograms\model\official_siim_512\head_5\siim_009202.png,0.7954220314735336,0.6603325415676959,0.7310979618671927,0.8721568627450981,0.9984321632696871,1112,409,163,260460,1275,1521,262144
siim_009202,model,official_siim_512,2,,head_2,0.5,True,True,-239.09597778320312,20.706560134887695,-58.101070404052734,31.772289276123047,0.0,1.0,0.005674020387232304,0.07302005589008331,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\probability_maps\model\official_siim_512\head_2\siim_009202.png,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\binary_masks\model\official_siim_512\head_2\siim_009202.png,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\visual_overlays\model\official_siim_512\head_2\siim_009202.png,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\probability_histograms\model\official_siim_512\head_2\siim_009202.png,0.7871953437613678,0.6490701859628074,0.7340569877883311,0.8486274509803922,0.9984973300775485,1082,392,193,260477,1275,1474,262144
siim_009202,model,official_siim_512,4,12,head_4_ch12,0.5,True,False,-74.82469940185547,-1.12582528591156,-18.13311195373535,7.487179756164551,3.191875646769421e-33,0.2449323534965515,0.00035562203265726566,0.004377956502139568,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\probability_maps\model\official_siim_512\head_4_ch12\siim_009202.png,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\binary_masks\model\official_siim_512\head_4_ch12\siim_009202.png,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\visual_overlays\model\official_siim_512\head_4_ch12\siim_009202.png,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\probability_histograms\model\official_siim_512\head_4_ch12\siim_009202.png,0.0,0.0,0.0,0.0,1.0,0,0,1275,260869,1275,0,262144
siim_009202,model,current_pr9a_512,5,,head_5,0.5,True,True,-196.1051025390625,7.1073737144470215,-64.98735809326172,24.054738998413086,0.0,0.9991815686225891,0.0013303500600159168,0.03411871939897537,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\probability_maps\model\current_pr9a_512\head_5\siim_009202.png,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\binary_masks\model\current_pr9a_512\head_5\siim_009202.png,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\visual_overlays\model\current_pr9a_512\head_5\siim_009202.png,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\probability_histograms\model\current_pr9a_512\head_5\siim_009202.png,0.40417690417690416,0.25327174749807546,0.9320113314447592,0.2580392156862745,0.9999079998006662,329,24,946,260845,1275,353,262144
siim_009202,model,current_pr9a_512,2,,head_2,0.5,True,True,-234.90725708007812,8.576520919799805,-67.72250366210938,28.209144592285156,0.0,0.999811589717865,0.001572870765812695,0.03754093497991562,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\probability_maps\model\current_pr9a_512\head_2\siim_009202.png,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\binary_masks\model\current_pr9a_512\head_2\siim_009202.png,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\visual_overlays\model\current_pr9a_512\head_2\siim_009202.png,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\probability_histograms\model\current_pr9a_512\head_2\siim_009202.png,0.4307692307692308,0.27450980392156865,0.8771084337349397,0.28549019607843135,0.9998044995764157,364,51,911,260818,1275,415,262144
siim_009202,model,current_pr9a_512,4,12,head_4_ch12,0.5,True,False,-61.50801467895508,-4.200510025024414,-20.990358352661133,6.879674911499023,1.9382447256376367e-27,0.01476660929620266,1.0918775842583273e-05,0.00014952714263927191,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\probability_maps\model\current_pr9a_512\head_4_ch12\siim_009202.png,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\binary_masks\model\current_pr9a_512\head_4_ch12\siim_009202.png,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\visual_overlays\model\current_pr9a_512\head_4_ch12\siim_009202.png,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\probability_histograms\model\current_pr9a_512\head_4_ch12\siim_009202.png,0.0,0.0,0.0,0.0,1.0,0,0,1275,260869,1275,0,262144
siim_010316,model,official_siim_224,5,,head_5,0.5,False,False,-134.89749145507812,-13.810430526733398,-71.51591491699219,21.07440757751465,0.0,1.0050919172499562e-06,1.5736620340156549e-10,9.874674411491924e-09,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\probability_maps\model\official_siim_224\head_5\siim_010316.png,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\binary_masks\model\official_siim_224\head_5\siim_010316.png,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\visual_overlays\model\official_siim_224\head_5\siim_010316.png,artifacts\diagnostics\foundation_x_official_direct\dryrun_official\probability_histograms\model\official_siim_224\head_5\siim_010316.png,1.0,1.0,1.0,1.0,1.0,0,0,0,50176,0,0,50176
