step,case_ids,loss_total,loss_dice_focal,loss_bce_with_logits,prob_min,prob_max,prob_mean,prob_std,prob_nan_count,prob_inf_count,logits_min,logits_max,logits_mean,logits_std,logits_nan_count,logits_inf_count,pred_pos_pixel_ratio,pred_non_empty_rate,grad_norm_l2_total,grad_nonfinite_count,frozen_backbone_grad_present,trainable_non_backbone_grad_present,trainable_non_backbone_grad_nonzero,step_ms
1,siim_000004,1.7671746015548706,1.0282819271087646,0.738892674446106,0.520636260509491,0.5248978734016418,0.522631049156189,0.00047283657477237284,0,0,0.0825919359922409,0.0996740385890007,0.09058622270822525,0.001895250054076314,0,0,1.0,1.0,0.6770080611079088,0,0,90,90,8143.912
2,siim_000001,1.7790683507919312,1.0402992963790894,0.7387690544128418,0.5202809572219849,0.524774968624115,0.5222983956336975,0.00026164294104091823,0,0,0.08116836100816727,0.09918106347322464,0.08925268799066544,0.0010486660758033395,0,0,1.0,1.0,0.7559079894238369,0,0,90,90,7310.063
3,siim_000009,1.7347596883773804,0.9993597269058228,0.7353999614715576,0.5195121169090271,0.5244712233543396,0.5216032862663269,0.00013858528109267354,0,0,0.07808814197778702,0.09796331077814102,0.08646703511476517,0.0005554028321057558,0,0,1.0,1.0,0.6445198117452006,0,0,90,90,7015.621
4,siim_000002,1.7766053676605225,1.0400196313858032,0.736585795879364,0.5192809104919434,0.5233758687973022,0.5212542414665222,0.0002928987087216228,0,0,0.07716192305088043,0.09357167035341263,0.0850682407617569,0.0011737276799976826,0,0,1.0,1.0,0.6547790501688449,0,0,90,90,6988.114
5,siim_000013,1.6901960372924805,0.9589727520942688,0.7312233448028564,0.5194372534751892,0.5230575203895569,0.520504355430603,0.00047432631254196167,0,0,0.07778813689947128,0.09229540079832077,0.08206360042095184,0.0019005421781912446,0,0,1.0,1.0,0.6307806478278017,0,0,90,90,7484.12
6,siim_000003,1.7729194164276123,1.0396027565002441,0.7333167195320129,0.5185016989707947,0.5220909714698792,0.5196864008903503,0.000545259565114975,0,0,0.0740407407283783,0.08842150121927261,0.07878647744655609,0.0021845309529453516,0,0,1.0,1.0,0.7306554398367656,0,0,90,90,6619.974
7,siim_000022,1.7604442834854126,1.027706265449524,0.7327380180358887,0.5188992023468018,0.5217661261558533,0.5196493268013,0.00043672576430253685,0,0,0.07563281804323196,0.08711942285299301,0.0786377415060997,0.0017496950458735228,0,0,1.0,1.0,0.6745274060808549,0,0,90,90,7590.128
8,siim_000005,1.7709121704101562,1.0393768548965454,0.7315352559089661,0.5167711973190308,0.5217790007591248,0.518828809261322,0.0011902269907295704,0,0,0.06710994243621826,0.08717124164104462,0.07535137236118317,0.004767753649502993,0,0,1.0,1.0,0.698048266099999,0,0,90,90,7421.22
9,siim_000023,1.740135669708252,1.011298418045044,0.7288371920585632,0.5161300897598267,0.5216622352600098,0.5180234909057617,0.0012421815190464258,0,0,0.06454292684793472,0.0867030993103981,0.07212585210800171,0.004975534975528717,0,0,1.0,1.0,0.6806491327351646,0,0,90,90,7277.433
10,siim_000006,1.7689517736434937,1.0391566753387451,0.7297950983047485,0.515108048915863,0.5215008854866028,0.517989993095398,0.0014885785058140755,0,0,0.06045074015855789,0.08605654537677765,0.07199154794216156,0.005962015129625797,0,0,1.0,1.0,0.6813207869681863,0,0,90,90,6995.314
11,siim_000028,1.765061378479004,1.0370525121688843,0.7280088663101196,0.5142405033111572,0.5215287208557129,0.5171626806259155,0.0016322701703757048,0,0,0.056977495551109314,0.0861680805683136,0.0686783641576767,0.0065370406955480576,0,0,1.0,1.0,0.6882950184351517,0,0,90,90,6180.922
12,siim_000007,1.7670544385910034,1.0389442443847656,0.7281101942062378,0.5137299299240112,0.5214405655860901,0.5171758532524109,0.0018689279677346349,0,0,0.054933566600084305,0.08581484109163284,0.0687313824892044,0.00748487887904048,0,0,1.0,1.0,0.6705758744357696,0,0,90,90,6308.23
13,siim_000030,1.7490745782852173,1.0229512453079224,0.7261233329772949,0.5126963257789612,0.5212645530700684,0.516485869884491,0.0021451960783451796,0,0,0.050796207040548325,0.08510942757129669,0.06596846133470535,0.008590430952608585,0,0,1.0,1.0,0.6609118441106308,0,0,90,90,6715.28
14,siim_000008,1.7653143405914307,1.0387496948242188,0.7265645861625671,0.5128377079963684,0.5209286212921143,0.5164281129837036,0.0020744733046740294,0,0,0.0513620488345623,0.0837632492184639,0.06573738157749176,0.008306977339088917,0,0,1.0,1.0,0.6677125357329816,0,0,90,90,6693.389
15,siim_000033,1.754357099533081,1.0295627117156982,0.7247943878173828,0.5107679963111877,0.5210695862770081,0.5157313942909241,0.002438317285850644,0,0,0.04307863861322403,0.08432834595441818,0.06294779479503632,0.009763120673596859,0,0,1.0,1.0,0.6683862484321244,0,0,90,90,6561.831
16,siim_000010,1.766374111175537,1.0388683080673218,0.7275058627128601,0.5121234655380249,0.5210389494895935,0.5168830752372742,0.00207920023240149,0,0,0.04850328341126442,0.08420553058385849,0.06755921244621277,0.008326125331223011,0,0,1.0,1.0,0.6493031943716575,0,0,90,90,7052.976
17,siim_000037,1.7579305171966553,1.0355699062347412,0.7223606705665588,0.5091215968132019,0.5208259224891663,0.514428436756134,0.002405045786872506,0,0,0.0364903062582016,0.08335189521312714,0.05773133039474487,0.0096285967156291,0,0,1.0,1.0,0.6872235663447059,0,0,90,90,7099.321
18,siim_000011,1.7597315311431885,1.0381280183792114,0.7216034531593323,0.5091066956520081,0.5208249092102051,0.5140215158462524,0.0024256077595055103,0,0,0.03643084689974785,0.08334777504205704,0.056102290749549866,0.009710699319839478,0,0,1.0,1.0,0.6891110870627051,0,0,90,90,6983.398
19,siim_000041,1.7471171617507935,1.025933861732483,0.7211833000183105,0.5120006799697876,0.5205903053283691,0.5140011310577393,0.0013646935112774372,0,0,0.04801202937960625,0.08240784704685211,0.0560196191072464,0.005463666282594204,0,0,1.0,1.0,0.6752993935265258,0,0,90,90,7237.569
20,siim_000012,1.752949595451355,1.0373777151107788,0.7155718803405762,0.5070261359214783,0.5205169916152954,0.5110822319984436,0.0022781849838793278,0,0,0.02810642495751381,0.08211401849985123,0.04433711618185043,0.00911885779350996,0,0,1.0,1.0,0.7373408091806138,0,0,90,90,7138.487
21,siim_000043,1.6754186153411865,0.9612653851509094,0.7141531705856323,0.5045952200889587,0.5203220248222351,0.5113334059715271,0.003259449964389205,0,0,0.018381454050540924,0.08133290708065033,0.04534325376152992,0.013045698404312134,0,0,1.0,1.0,0.6434405694105981,0,0,90,90,6485.381
22,siim_000014,1.7477467060089111,1.0368077754974365,0.7109389305114746,0.5041106343269348,0.5200660824775696,0.5088083744049072,0.0029359946493059397,0,0,0.01644285023212433,0.08030753582715988,0.03523853421211243,0.011749008670449257,0,0,1.0,1.0,0.7687813816711437,0,0,90,90,6916.82
23,siim_000049,1.7323980331420898,1.022012710571289,0.7103853225708008,0.5026446580886841,0.5201084017753601,0.508722722530365,0.0037735148798674345,0,0,0.010578845627605915,0.08047705143690109,0.03489648923277855,0.0150995384901762,0,0,1.0,1.0,0.7404372877599599,0,0,90,90,6297.781
24,siim_000015,1.7491226196289062,1.0369596481323242,0.712162971496582,0.4997652769088745,0.5198860764503479,0.5094058513641357,0.0034581166692078114,0,0,-0.0009388571488671005,0.07958631962537766,0.037629634141922,0.013837079517543316,0,0,0.9997673034667969,1.0,0.7105364645469603,0,0,90,90,6383.956
25,siim_000055,1.722793698310852,1.0217963457107544,0.7009973526000977,0.4968365430831909,0.519870936870575,0.5039466619491577,0.0038141990080475807,0,0,-0.012653876096010208,0.07952556759119034,0.01578802615404129,0.015259482897818089,0,0,0.8525848388671875,1.0,0.7802179750974972,0,0,90,90,6347.625
26,siim_000016,1.7232253551483154,1.0341730117797852,0.6890522837638855,0.4851573407649994,0.5196899175643921,0.4979226887226105,0.005068749189376831,0,0,-0.05938807502388954,0.07880032807588577,-0.008309864439070225,0.02027723379433155,0,0,0.3470611572265625,1.0,0.8887403959853266,0,0,90,90,6619.657
27,siim_000060,1.6972980499267578,1.0182989835739136,0.6789990067481995,0.47953712940216064,0.5194428563117981,0.49270015954971313,0.004974422976374626,0,0,-0.08189720660448074,0.07781057059764862,-0.029203685000538826,0.019902637228369713,0,0,0.059200286865234375,1.0,0.9599385153963608,0,0,90,90,6313.96
28,siim_000017,1.6612144708633423,1.0279110670089722,0.6333034038543701,0.4470471739768982,0.5190298557281494,0.4690648317337036,0.010207093320786953,0,0,-0.21260863542556763,0.0761561244726181,-0.12394354492425919,0.040950849652290344,0,0,0.0182037353515625,1.0,1.4952196592165428,0,0,90,90,6353.926
29,siim_000062,1.6111369132995605,1.0033695697784424,0.6077672839164734,0.40822410583496094,0.5189372301101685,0.45390835404396057,0.01587471179664135,0,0,-0.37131160497665405,0.0757850855588913,-0.1850523203611374,0.06391164660453796,0,0,0.020923614501953125,1.0,1.8169472779185327,0,0,90,90,6456.278
