case_id,input_shape,mask_shape,foundation_stage_shapes,stage_contract_ok,prob_output_shape,raw_logits_shape,shape_compatible_with_mask,prob_min,prob_max,prob_mean,prob_std,prob_nan_count,prob_inf_count,logits_min,logits_max,logits_mean,logits_std,logits_nan_count,logits_inf_count,device,dtype,forward_ms
siim_009589,"[1, 1, 512, 512]","[1, 1, 512, 512]","[[1, 128, 128, 128], [1, 256, 64, 64], [1, 512, 32, 32], [1, 1024, 16, 16]]",True,"[1, 1, 512, 512]","[1, 1, 512, 512]",True,0.520375669002533,0.5249355435371399,0.5229126811027527,0.00040093439747579396,0,0,0.08154795318841934,0.09982497245073318,0.09171493351459503,0.001607071841135621,0,0,cpu,torch.float32,3460.438
siim_009791,"[1, 1, 512, 512]","[1, 1, 512, 512]","[[1, 128, 128, 128], [1, 256, 64, 64], [1, 512, 32, 32], [1, 1024, 16, 16]]",True,"[1, 1, 512, 512]","[1, 1, 512, 512]",True,0.520672082901001,0.5248149037361145,0.5225815176963806,0.0003120008623227477,0,0,0.08273547887802124,0.09934136271476746,0.09038771688938141,0.0012505499180406332,0,0,cpu,torch.float32,2974.975
siim_009082,"[1, 1, 512, 512]","[1, 1, 512, 512]","[[1, 128, 128, 128], [1, 256, 64, 64], [1, 512, 32, 32], [1, 1024, 16, 16]]",True,"[1, 1, 512, 512]","[1, 1, 512, 512]",True,0.5205406546592712,0.5251093506813049,0.5224829316139221,0.0003198011254426092,0,0,0.0822087898850441,0.10052197426557541,0.08999248594045639,0.00128180964384228,0,0,cpu,torch.float32,3620.128
siim_010023,"[1, 1, 512, 512]","[1, 1, 512, 512]","[[1, 128, 128, 128], [1, 256, 64, 64], [1, 512, 32, 32], [1, 1024, 16, 16]]",True,"[1, 1, 512, 512]","[1, 1, 512, 512]",True,0.5205267667770386,0.5255336761474609,0.5228282809257507,0.00047867075772956014,0,0,0.08215324580669403,0.10222360491752625,0.09137696027755737,0.0019186923746019602,0,0,cpu,torch.float32,3488.374
siim_009416,"[1, 1, 512, 512]","[1, 1, 512, 512]","[[1, 128, 128, 128], [1, 256, 64, 64], [1, 512, 32, 32], [1, 1024, 16, 16]]",True,"[1, 1, 512, 512]","[1, 1, 512, 512]",True,0.5200456380844116,0.525377094745636,0.5225948095321655,0.0004254765808582306,0,0,0.08022572845220566,0.10159578174352646,0.09044094383716583,0.0017053993651643395,0,0,cpu,torch.float32,3521.657
siim_009693,"[1, 1, 512, 512]","[1, 1, 512, 512]","[[1, 128, 128, 128], [1, 256, 64, 64], [1, 512, 32, 32], [1, 1024, 16, 16]]",True,"[1, 1, 512, 512]","[1, 1, 512, 512]",True,0.5204328298568726,0.5260282754898071,0.5225810408592224,0.0003517696459311992,0,0,0.08177682757377625,0.104207344353199,0.09038569033145905,0.0014099599793553352,0,0,cpu,torch.float32,3434.515
siim_009266,"[1, 1, 512, 512]","[1, 1, 512, 512]","[[1, 128, 128, 128], [1, 256, 64, 64], [1, 512, 32, 32], [1, 1024, 16, 16]]",True,"[1, 1, 512, 512]","[1, 1, 512, 512]",True,0.5209656357765198,0.5240239500999451,0.5224734544754028,0.0002582010056357831,0,0,0.08391166478395462,0.09616973996162415,0.08995451033115387,0.0010348869254812598,0,0,cpu,torch.float32,3357.486
siim_009079,"[1, 1, 512, 512]","[1, 1, 512, 512]","[[1, 128, 128, 128], [1, 256, 64, 64], [1, 512, 32, 32], [1, 1024, 16, 16]]",True,"[1, 1, 512, 512]","[1, 1, 512, 512]",True,0.520634114742279,0.5249763131141663,0.5229469537734985,0.00044743006583303213,0,0,0.08258330821990967,0.09998860210180283,0.09185235947370529,0.0017934647621586919,0,0,cpu,torch.float32,3635.495
