step,case_ids,loss_total,loss_dice_focal,loss_bce_with_logits,prob_min,prob_max,prob_mean,prob_std,prob_nan_count,prob_inf_count,logits_min,logits_max,logits_mean,logits_std,logits_nan_count,logits_inf_count,pred_pos_pixel_ratio,pred_non_empty_rate,grad_norm_l2_total,grad_nonfinite_count,frozen_backbone_grad_present,trainable_non_backbone_grad_present,trainable_non_backbone_grad_nonzero,step_ms
1,siim_000004,1.7671746015548706,1.0282819271087646,0.738892674446106,0.520636260509491,0.5248978734016418,0.522631049156189,0.00047283657477237284,0,0,0.0825919359922409,0.0996740385890007,0.09058622270822525,0.001895250054076314,0,0,1.0,1.0,0.6770080611079088,0,0,90,90,7193.945
2,siim_000009,1.7332868576049805,0.999197244644165,0.7340895533561707,0.5191018581390381,0.5235095024108887,0.5209507942199707,0.00033393752528354526,0,0,0.07644455134868622,0.09410727769136429,0.0838521420955658,0.0013381072785705328,0,0,1.0,1.0,0.6435898242552215,0,0,90,90,6577.998
3,siim_000013,1.6869170665740967,0.9586253762245178,0.7282916903495789,0.5171406865119934,0.5215676426887512,0.51897794008255,0.0010327377822250128,0,0,0.06858953833580017,0.08632403612136841,0.07594859600067139,0.004137073643505573,0,0,1.0,1.0,0.6224260355488681,0,0,90,90,6534.912
4,siim_000022,1.7560518980026245,1.0272111892700195,0.728840708732605,0.5166187882423401,0.5213663578033447,0.5177539587020874,0.0007958640926517546,0,0,0.06649951636791229,0.08551749587059021,0.0710458755493164,0.003187726717442274,0,0,1.0,1.0,0.6569391749029168,0,0,90,90,6427.213
5,siim_000023,1.7341399192810059,1.0106910467147827,0.7234489321708679,0.5121873021125793,0.521039605140686,0.5153201818466187,0.0020562997087836266,0,0,0.048758868128061295,0.08420804142951965,0.0613010935485363,0.00823370460420847,0,0,1.0,1.0,0.6595653932161877,0,0,90,90,6364.164
6,siim_000028,1.7579238414764404,1.0362564325332642,0.721667468547821,0.509554386138916,0.5207852721214294,0.5140826106071472,0.002540563466027379,0,0,0.038222022354602814,0.083188995718956,0.05634663254022598,0.01017086859792471,0,0,1.0,1.0,0.6866678596046982,0,0,90,90,6685.502
7,siim_000030,1.7407013177871704,1.0220364332199097,0.7186648845672607,0.5069658756256104,0.5204306244850159,0.5128017067909241,0.003283981466665864,0,0,0.02786528877913952,0.08176790922880173,0.051220398396253586,0.013145249336957932,0,0,1.0,1.0,0.6724085214355746,0,0,90,90,6492.774
8,siim_000033,1.7437639236450195,1.0283843278884888,0.715379536151886,0.5033018589019775,0.5201689004898071,0.511108934879303,0.003758143400773406,0,0,0.013207722455263138,0.08071951568126678,0.04444566369056702,0.01504049077630043,0,0,1.0,1.0,0.6921606281343001,0,0,90,90,6446.932
9,siim_000037,1.7430323362350464,1.0339370965957642,0.7090952396392822,0.4992789924144745,0.5199202299118042,0.5079179406166077,0.003767317393794656,0,0,-0.0028840797021985054,0.07972319424152374,0.03167637437582016,0.015073982998728752,0,0,0.9942817687988281,1.0,0.7382513590833737,0,0,90,90,6264.496
10,siim_000041,1.7240006923675537,1.023457407951355,0.7005433440208435,0.49831369519233704,0.5194314122200012,0.5037250518798828,0.0025509593542665243,0,0,-0.00674515450373292,0.0777648538351059,0.014901041984558105,0.010205550119280815,0,0,0.9782028198242188,1.0,0.7620597172994618,0,0,90,90,6341.068
11,siim_000043,1.6252731084823608,0.9572147727012634,0.6680583357810974,0.4601674973964691,0.5188819169998169,0.48583975434303284,0.007376586552709341,0,0,-0.15966829657554626,0.07556364685297012,-0.056666262447834015,0.029528314247727394,0,0,0.0481109619140625,1.0,0.9279785070609635,0,0,90,90,6634.262
12,siim_000049,1.5753823518753052,1.007399082183838,0.5679832696914673,0.3655182719230652,0.5180781483650208,0.43175846338272095,0.020942045375704765,0,0,-0.5514921545982361,0.0723440870642662,-0.27514636516571045,0.08527839928865433,0,0,0.00815582275390625,1.0,2.0828286758773613,0,0,90,90,7143.857
13,siim_000055,1.2595055103302002,0.9985665678977966,0.2609388828277588,0.12306219339370728,0.516116738319397,0.217161625623703,0.07193399220705032,0,0,-1.963746190071106,0.0644892081618309,-1.321332573890686,0.3808707296848297,0,0,0.00035858154296875,1.0,3.3560805387305592,0,0,90,90,7435.465
14,siim_000060,1.1215699911117554,1.0420314073562622,0.07953862100839615,0.00038656979450024664,0.5109474062919617,0.023577367886900902,0.06076551228761673,0,0,-7.857811450958252,0.04379652440547943,-5.1366071701049805,1.4911231994628906,0,0,2.6702880859375e-05,1.0,0.639134730959748,0,0,90,90,6532.783
15,siim_000062,1.380516529083252,1.1670135259628296,0.21350303292274475,5.4169835284056944e-11,0.4986818730831146,0.004058352671563625,0.026571255177259445,0,0,-23.638896942138672,-0.005272539798170328,-15.742819786071777,4.691333293914795,0,0,0.0,0.0,4.45807912393079,0,0,90,90,6565.677
