step,case_ids,loss_total,loss_dice_focal,loss_bce_with_logits,prob_min,prob_max,prob_mean,prob_std,prob_nan_count,prob_inf_count,logits_min,logits_max,logits_mean,logits_std,logits_nan_count,logits_inf_count,pred_pos_pixel_ratio,pred_non_empty_rate,grad_norm_l2_total,grad_nonfinite_count,frozen_backbone_grad_present,trainable_non_backbone_grad_present,trainable_non_backbone_grad_nonzero,step_ms
1,siim_000004,1.1021711826324463,1.0282819271087646,0.738892674446106,0.520636260509491,0.5248978734016418,0.522631049156189,0.00047283657477237284,0,0,0.0825919359922409,0.0996740385890007,0.09058622270822525,0.001895250054076314,0,0,1.0,1.0,0.13634993410407362,0,0,90,90,7733.28
2,siim_000001,1.113381028175354,1.0398529767990112,0.7352803945541382,0.5193719863891602,0.5231885313987732,0.5206288695335388,0.0003140810877084732,0,0,0.07752677798271179,0.09282074868679047,0.08256237208843231,0.0012585113290697336,0,0,1.0,1.0,0.15219403123361563,0,0,90,90,7442.196
3,siim_000009,1.071927547454834,0.998824417591095,0.7310311794281006,0.5170540809631348,0.5217925310134888,0.5194212794303894,0.0009967698715627193,0,0,0.06824275106191635,0.08722531050443649,0.07772467285394669,0.0039931065402925014,0,0,1.0,1.0,0.12486004112529571,0,0,90,90,7269.959
4,siim_000002,1.1124826669692993,1.0393503904342651,0.7313224673271179,0.5142505168914795,0.5215193629264832,0.5187252759933472,0.0015747722936794162,0,0,0.05701757222414017,0.08613063395023346,0.07493698596954346,0.006307694595307112,0,0,1.0,1.0,0.1295964135681891,0,0,90,90,6867.67
5,siim_000013,1.0302075147628784,0.9579514861106873,0.7225598096847534,0.5122894644737244,0.5209894180297852,0.5159774422645569,0.0021526310592889786,0,0,0.04916776716709137,0.08400703221559525,0.06393267959356308,0.008619949221611023,0,0,1.0,1.0,0.11292685377394471,0,0,90,90,6948.057
6,siim_000003,1.1099886894226074,1.0379613637924194,0.7202727794647217,0.5092039704322815,0.5207481384277344,0.5133758783340454,0.0021057261619716883,0,0,0.03681996837258339,0.08304013311862946,0.053517408668994904,0.008430030196905136,0,0,1.0,1.0,0.14254931258109918,0,0,90,90,6881.976
7,siim_000022,1.0982310771942139,1.0261744260787964,0.7205662131309509,0.511518657207489,0.5202897191047668,0.5137025117874146,0.001469269278459251,0,0,0.046082645654678345,0.08120342344045639,0.05482439324259758,0.005882223602384329,0,0,1.0,1.0,0.13434997990142358,0,0,90,90,6798.588
8,siim_000005,1.1087095737457275,1.0372552871704102,0.7145429253578186,0.5038372874259949,0.5202891230583191,0.5105668306350708,0.004125352017581463,0,0,0.015349380671977997,0.08120100945234299,0.042276531457901,0.01650966703891754,0,0,1.0,1.0,0.1441277220545835,0,0,90,90,6817.376
9,siim_000023,1.0797171592712402,1.0089486837387085,0.7076841592788696,0.5006743669509888,0.5200255513191223,0.5073196887969971,0.004236740991473198,0,0,0.0026974400971084833,0.0801452025771141,0.02928341180086136,0.016952892765402794,0,0,1.0,1.0,0.14134259955599707,0,0,90,90,6887.943
10,siim_000006,1.1066720485687256,1.0361344814300537,0.7053751945495605,0.4952290654182434,0.5196560025215149,0.5060500502586365,0.005139453336596489,0,0,-0.019084183499217033,0.07866453379392624,0.024203859269618988,0.020561793819069862,0,0,0.8441734313964844,1.0,0.15173387783795125,0,0,90,90,6967.062
