step,case_ids,loss_total,loss_dice_focal,loss_bce_with_logits,prob_min,prob_max,prob_mean,prob_std,prob_nan_count,prob_inf_count,logits_min,logits_max,logits_mean,logits_std,logits_nan_count,logits_inf_count,grad_norm_l2_total,grad_nonfinite_count,frozen_backbone_grad_present,trainable_non_backbone_grad_present,trainable_non_backbone_grad_nonzero,step_ms
0,siim_000004,1.7968134880065918,1.033988118171692,0.7628253698348999,0.03837217390537262,0.9942020773887634,0.5289260149002075,0.06077723950147629,0,0,-3.22129487991333,5.144450664520264,0.11891572922468185,0.2697257995605469,0,0,2.459545532505268,0,0,90,90,7110.699
1,siim_000009,1.7207274436950684,0.9992880821228027,0.7214394211769104,0.006126589607447386,0.9999643564224243,0.5087134838104248,0.05390229821205139,0,0,-5.0889716148376465,10.241128921508789,0.04155741631984711,0.29727450013160706,0,0,2.2607878951799005,0,0,90,90,6903.935
2,siim_000013,1.656131386756897,0.9548916220664978,0.7012397646903992,0.07714290171861649,0.9986037611961365,0.4980873763561249,0.06801728904247284,0,0,-2.4818148612976074,6.572551727294922,-0.0005011530593037605,0.32917746901512146,0,0,2.0369280150717857,0,0,90,90,6506.583
3,siim_000022,1.7212010622024536,1.0254247188568115,0.6957763433456421,0.0639050081372261,0.9999966621398926,0.4943235516548157,0.07184009999036789,0,0,-2.684319257736206,12.596182823181152,-0.01943616196513176,0.335886687040329,0,0,1.866612550535916,0,0,90,90,6251.832
4,siim_000001,1.7106261253356934,1.0352985858917236,0.6753275394439697,0.047089867293834686,0.999308705329895,0.483458012342453,0.07048871368169785,0,0,-3.007462739944458,7.276199817657471,-0.06154095381498337,0.33491167426109314,0,0,1.860563554187551,0,0,90,90,6180.825
